start,stop,day,length_minutes,%_of_channel,channel_name,title,subtitle,date,desc_text,category_text,macro_category
2023-08-27 01:00:00+02:00,2023-08-27 01:45:00+02:00,2023-08-27 00:00:00+02:00,45,0.23665527215356297,TF1,"Vendredi, tout est permis avec Arthur","Sea, sex and sun",,"Comme toujours, le ""Vendredi, tout est permis avec Arthur"" ! Et ce ne sont pas les célèbres invités du maître de céans qui diront le contraire, eux que l'animateur fait danser, chanter, mimer, improviser, et bien plus encore ! A ses côtés figurent Wahid Bouzidi, Booder, Estelle Denis, Tony Saint Laurent, Cartman, Sandrine Quétier et Chris Marques.",divertissement,divertissement
2023-08-27 01:45:00+02:00,2023-08-27 06:15:00+02:00,2023-08-27 00:00:00+02:00,270,1.4199316329213778,TF1,Programmes de la nuit,,,Retrouvez tous vos programmes de nuit.,programme indéterminé,autre
2023-08-27 06:15:00+02:00,2023-08-27 09:55:00+02:00,2023-08-27 00:00:00+02:00,220,1.1569813305285301,TF1,TFou,,,Une émission jeunesse qui propose les meilleures séries de dessins animés du moment.,magazine jeunesse,jeunesse
2023-08-27 09:55:00+02:00,2023-08-27 11:00:00+02:00,2023-08-27 00:00:00+02:00,65,0.3418353931107021,TF1,Automoto,,,,sports mécaniques,sport
2023-08-27 11:00:00+02:00,2023-08-27 11:50:00+02:00,2023-08-27 00:00:00+02:00,50,0.2629503023928478,TF1,Téléfoot,,,,sport : football,sport
2023-08-27 11:50:00+02:00,2023-08-27 12:50:00+02:00,2023-08-27 00:00:00+02:00,60,0.3155403628714173,TF1,Les douze coups de midi,,,"Qui sera le calife à la place du calife ? Chaque jour, à midi tapante, quatre candidats s'affrontent pour empocher les 30 000 euros de la cagnotte et décrocher l'étoile mystérieuse et ses cadeaux. Seule condition, bien répondre aux questions de culture générale.",divertissement : jeu,divertissement
2023-08-27 12:50:00+02:00,2023-08-27 12:55:00+02:00,2023-08-27 00:00:00+02:00,5,0.026295030239284777,TF1,Petits plats en équilibre,,,"Chaque jour, Laurent Mariotte propose des recettes simples et savoureuses pour profiter des ingrédients de saison, en donnant la part belle aux produits locaux.",magazine de la gastronomie,divertissement
2023-08-27 12:55:00+02:00,2023-08-27 13:00:00+02:00,2023-08-27 00:00:00+02:00,5,0.026295030239284777,TF1,Météo,,,Prévisions météorologiques en France par le service de TF1.,météo,méteo
2023-08-27 13:00:00+02:00,2023-08-27 13:40:00+02:00,2023-08-27 00:00:00+02:00,40,0.2103602419142782,TF1,Journal,,,Journal télévisé de TF1 qui revient sur les faits marquants et les événements essentiels qui ont fait de cette journée une journée différente de toutes les autres.,journal,journal
2023-08-27 13:40:00+02:00,2023-08-27 14:50:00+02:00,2023-08-27 00:00:00+02:00,70,0.36813042334998686,TF1,Reportages découverte,"Trottinettes, vélos, voitures : la guerre est déclarée",,"Conduire en ville n'a jamais été une partie de plaisir mais depuis quelques années c'est devenu un cauchemar pour beaucoup d'automobilistes. Transition écologique oblige, dans les agglomérations, les voitures doivent céder la place aux ""mobilités douces"" : trottinettes, skate-boards, mono-roues, et surtout vélos.",magazine de reportages,magazine
2023-08-27 14:50:00+02:00,2023-08-27 16:10:00+02:00,2023-08-27 00:00:00+02:00,80,0.4207204838285564,TF1,Reportages découverte,"Les rois de ""la petite reine""",,,magazine de reportages,magazine
2023-08-27 16:10:00+02:00,2023-08-27 17:10:00+02:00,2023-08-27 00:00:00+02:00,60,0.3155403628714173,TF1,Les Docs du week-end,Urgence sur l'autoroute des vacances,,"Le dimanche, l'émission est présentée par Tatiana Silva et décryptera notre société et ses nouvelles tendances à travers des reportages et des enquêtes sur la sécurité, la consommation ou encore l'actualité !",magazine de société,magazine
2023-08-27 17:10:00+02:00,2023-08-27 17:35:00+02:00,2023-08-27 00:00:00+02:00,25,0.1314751511964239,TF1,Rugby : avant-match,,,,sport : rugby,sport
2023-08-27 17:35:00+02:00,2023-08-27 19:50:00+02:00,2023-08-27 00:00:00+02:00,135,0.7099658164606889,TF1,Rugby : Summer Nations Series,,,,sport : rugby,sport
